ID,Author,Authsex,Bibliography,Comment,Conglomerate,Date,Dateorig,Genre,Lang,Medium,Name,Origlang,Subtype,Translation,Type,Dateorig_upraveny
2014-11-24-g-2,Dominik Tatarka,msc,"Tatarka, Dominik: V úzkosti hľadania. Liptovský Mikuláš: Tranoscius 1997. 200 s.",pôvodne publikované v Slovenských pohľadoch,Dominik Tatarka - V úzkosti hľadania,1997,1942,col,slk,lib,V úzkosti hľadania,YYY,pro,org,img,1942
2014-11-25-e-1,Jozef Horák,msc,"Horák, Jozef: Povesti spod Sitna. Bratislava: Mladé letá 1987. 206 s.",výber próz,Jozef Horák - Povesti spod Sitna,1987,1937,col,slk,lib,Povesti spod Sitna,YYY,pro,org,img,1937
2015-02-20-k-1,Dominik Tatarka,msc,"Tatarka, Dominik: Človek na cestách. Bratislava: Slovenský spisovateľ 1967. 352 s.",,Dominik Tatarka - Človek na cestách,1967,1957,fac,slk,lib,Človek na cestách,YYY,pro,org,img,1957
2015-04-14-e-1,Mária Rázusová-Martáková,fem,"Rázusová-Martáková, Mária: Chlapčekovo leto. Bratislava: Mladé letá 1981. 97 s.",,Mária Rázusová-Martáková - Chlapčekovo leto,1981,1956,col,slk,lib,Chlapčekovo leto,YYY,pro,org,img,1956
2015-08-20-b-1,Alfonz Bednár,msc,"Bednár, Alfonz: Cudzí. Bratislava: Slovenský spisovateľ 1960. 240 s.",,Alfonz Bednár - Cudzí,1960,1960,nov,slk,lib,Cudzí,YYY,pro,org,img,1960
2015-09-14-n-1,Hana Zelinová,fem,"Zelinová, Hana: Jakubko. Bratislava: Mladé letá 1987. 68 s.",edícia KMČ,Hana Zelinová - Jakubko,1987,1959,col,slk,lib,Jakubko,YYY,pro,org,img,1959
2016-02-17-c-1,Hana Ponická,fem,"Ponická, Hana: Halúzky. Bratislava: Slovenský spisovateľ 1972. 124 s.",,Hana Ponická - Halúzky,1972,1955,col,slk,lib,Halúzky,YYY,pro,org,img,1955
2016-05-24-b-1,Ján Červeň,msc,"Červeň, Ján: Modrá katedrála. Bratislava: Vydavateľstvo Spolku slovenských spisovateľov 1998. 169 s.",,Ján Červeň - Modrá katedrála,1998,1942,col,slk,lib,Modrá katedrála,YYY,pro,org,img,1942
2016-10-12-r-1,Hana Zelinová,fem,"Zelinová, Hana: Prístav pokoja. Bratislava: Slovenský spisovateľ 1969. 244 s.",edícia Slovenská próza,Hana Zelinová - Prístav pokoja,1969,1944,nov,slk,lib,Prístav pokoja,YYY,pro,org,img,1944
2016-11-30-a-1,Ján Bodenek,msc,"Bodenek, Ján: Svetlá na bublinách. In: Bodenek, Ján: Kríž profesora Hunku. Svetlá na bublinách. Bratislava: Slovenský spisovateľ 1974. 212 s.",,Ján Bodenek - Svetlá na bublinách,1974,1942,col,slk,lib,Svetlá na bublinách,YYY,pro,org,img,1942
2016-11-30-a-2,Ján Bodenek,msc,"Bodenek, Ján: Kríž profesora Hunku. In: Bodenek, Ján: Kríž profesora Hunku. Svetlá na bublinách. Bratislava: Slovenský spisovateľ 1974. 212 s.",,Ján Bodenek - Kríž profesora Hunku,1974,1945,nov,slk,lib,Kríž profesora Hunku,YYY,pro,org,img,1945
2016-11-30-b-1,Emo Bohúň,msc,"Bohúň, Emo: Zaprášené histórie. Bratislava: Slovenský spisovateľ 1985. 192 s.",kniha autobiografických a spomienkových humoresiek,Emo Bohúň - Zaprášené histórie,1985,1948,col,slk,lib,Zaprášené histórie,YYY,pro,org,img,1948
2017-02-13-c-1,Miloš Krno,msc,"Krno, Miloš: Dve cesty. Bratislava: Slovenský spisovateľ 1972. 584 s.","románová trilógia Dve cesty (1953), Lavína (1954), Míľový krok (1977)",Miloš Krno - Dve cesty,1972,1953,nov,slk,lib,Dve cesty,YYY,pro,org,img,1953
